Symbol,EPS,Market_Price,Revenue_Per_Share,P/S_Ratio,Last_Updated
ATVI,,,,,2024-12-29 19:40:10.523619
AET,,,,,2024-12-29 19:40:11.773770
ALXN,,,,,2024-12-29 19:40:13.192768
AGN,,,,,2024-12-29 19:40:13.701621
ADS,,,,,2024-12-29 19:40:14.893022
ABC,,,,,2024-12-29 19:40:15.422957
APC,,,,,2024-12-29 19:40:15.944398
ANDV,,,,,2024-12-29 19:40:16.513030
ANTM,,,,,2024-12-29 19:40:17.073594
ARNC,,,,,2024-12-29 19:40:17.602516
BHGE,,,,,2024-12-29 19:40:18.306186
BLL,,,,,2024-12-29 19:40:18.752401
BBT,,,,,2024-12-29 19:40:19.325629
COG,,,,,2024-12-29 19:40:19.792639
CBG,,,,,2024-12-29 19:40:20.365747
CBS,,,,,2024-12-29 19:40:21.013567
CELG,,,,,2024-12-29 19:40:21.434458
CTL,,,,,2024-12-29 19:40:22.520977
CERN,,,,,2024-12-29 19:40:23.515549
XEC,,,,,2024-12-29 19:40:24.312400
CTXS,,,,,2024-12-29 19:40:24.834018
CXO,,,,,2024-12-29 19:40:25.361438
CSRA,,,,,2024-12-29 19:40:25.952301
DISCA,,,,,2024-12-29 19:40:26.654157
DISCK,,,,,2024-12-29 19:40:27.311498
