Ticker,Intrinsic Value,Date Calculated
MMM,342.76,2025-01-29
AOS,135.18,2025-01-29
ABT,3.35,2025-01-29
ABBV,2.92,2025-01-29
ACN,12.26,2025-01-29
AYI,479.0,2025-01-29
ADBE,12.71,2025-01-29
AAP,0.79,2025-01-29
AMD,1.16,2025-01-29
AES,24.96,2025-01-29
AMG,326.27,2025-01-29
AFL,142.68,2025-01-29
A,4.51,2025-01-29
APD,17.09,2025-01-29
AKAM,3.47,2025-01-29
ALK,89.52,2025-01-29
ALB,88.34,2025-01-29
ARE,49.67,2025-01-29
ALGN,5.97,2025-01-29
ALLE,232.19,2025-01-29
LNT,44.55,2025-01-29
ALL,327.96,2025-01-29
GOOGL,7.75,2025-01-29
GOOG,7.76,2025-01-29
MO,316.72,2025-01-29
AMZN,4.7,2025-01-29
AEE,73.67,2025-01-29
AAL,14.98,2025-01-29
AEP,85.97,2025-01-29
AXP,287.9,2025-01-29
AIG,106.64,2025-01-29
AMT,125.69,2025-01-29
AWK,87.36,2025-01-29
AMP,554.38,2025-01-29
AME,205.08,2025-01-29
AMGN,7.98,2025-01-29
APH,1.8,2025-01-29
ADI,3.37,2025-01-29
ANSS,6.67,2025-01-29
AON,247.62,2025-01-29
APA,105.6,2025-01-29
AIV,8.42,2025-01-29
AAPL,6.25,2025-01-29
AMAT,8.85,2025-01-29
APTV,9.02,2025-01-29
ADM,190.46,2025-01-29
AJG,111.09,2025-01-29
AIZ,296.8,2025-01-29
T,88.56,2025-01-29
ADSK,5.17,2025-01-29
ADP,9.62,2025-01-29
AZO,150.13,2025-01-29
AVB,221.69,2025-01-29
AVY,8.25,2025-01-29
BAC,58.51,2025-01-29
BAX,0.25,2025-01-29
BDX,5.96,2025-01-29
BRK-B,1049.19,2025-01-29
BBY,5.87,2025-01-29
BIIB,11.26,2025-01-29
BLK,858.81,2025-01-29
HRB,85.22,2025-01-29
BA,220.17,2025-01-29
BWA,4.06,2025-01-29
BXP,69.66,2025-01-29
BSX,1.23,2025-01-29
BHF,45.86,2025-01-29
BMY,57.73,2025-01-29
AVGO,1.32,2025-01-29
BF-B,113.42,2025-01-29
CHRW,103.08,2025-01-29
CA,24.95,2025-01-29
CDNS,3.91,2025-01-29
CPB,97.91,2025-01-29
COF,224.72,2025-01-29
CAH,5.29,2025-01-29
KMX,2.95,2025-01-29
CCL,1.45,2025-01-29
CAT,767.9,2025-01-29
CBOE,155.61,2025-01-29
CNC,5.9,2025-01-29
CNP,26.0,2025-01-29
CF,6.25,2025-01-29
SCHW,54.27,2025-01-29
CHTR,32.05,2025-01-29
CVX,136.5,2025-01-29
CMG,1.08,2025-01-29
CB,516.86,2025-01-29
CHD,118.77,2025-01-29
CI,10.76,2025-01-29
CINF,412.55,2025-01-29
CTAS,147.66,2025-01-29
CSCO,2.39,2025-01-29
C,74.41,2025-01-29
CFG,54.06,2025-01-29
CME,201.4,2025-01-29
CMS,60.84,2025-01-29
KO,128.94,2025-01-29
CTSH,4.64,2025-01-29
CL,186.18,2025-01-29
CMCSA,3.73,2025-01-29
CMA,84.8,2025-01-29
CAG,55.11,2025-01-29
COP,126.45,2025-01-29
ED,92.21,2025-01-29
STZ,167.99,2025-01-29
GLW,0.2,2025-01-29
COST,910.04,2025-01-29
COTY,9.63,2025-01-29
CCI,85.41,2025-01-29
CSX,67.05,2025-01-29
CMI,544.99,2025-01-29
CVS,210.79,2025-01-29
DHI,14.41,2025-01-29
DHR,5.39,2025-01-29
