Symbol,Name,Sector,DCF_Intrinsic_Value,Market_Price,Linear Regression_Prediction,Random Forest_Prediction,Gradient Boosting Machine_Prediction
MMM,3M Company,Industrials,68.26076944889357,130.18,1299.559738749713,65.74448571895208,59.56601971388675
AOS,A.O. Smith Corp,Industrials,32.66604762943151,68.43,789.9403175882096,29.83548564294914,26.063313945949506
ABT,Abbott Laboratories,Health Care,29.86094451051766,114.99,1174.1974876170289,56.19634158401494,59.56601971388675
ABBV,AbbVie Inc.,Health Care,26.156615857845672,178.01,1694.2981503149713,36.959934307295065,66.08240782757548
ACN,Accenture plc,Information Technology,107.88630885618029,356.18,3164.725555470357,114.43019460440121,138.87934648973683
AYI,Acuity Brands Inc,Industrials,115.79421135575281,297.73,2682.3408564114116,94.28503234657983,98.38635588925027
ADBE,Adobe Systems Inc,Information Technology,112.30126751675735,446.48,3909.9665875494466,40475.87131938562,141.14032874804928
AAP,Advance Auto Parts,Consumer Discretionary,14.353635624309309,44.06,588.816021333864,14.198340343842181,15.53106216671425
AMD,Advanced Micro Devices Inc,Information Technology,10.127156558514555,125.19,1258.3775377522084,20.686643105745343,59.56601971388675
AES,AES Corp,Utilities,10.639471111599129,12.75,330.4162792032297,8.82780494243042,6.280769770317875
AMG,Affiliated Managers Group Inc,Financials,129.54649254935788,187.64,1773.7740211778907,112.53172206228629,85.15272798815734
AFL,AFLAC Inc,Financials,60.12291971339448,103.38,1078.3807834925747,60.52958696736604,43.71797360621804
A,Agilent Technologies Inc,Health Care,40.153763860683966,135.54,1343.7955298011404,49.05800788963549,61.901913953652425
APD,Air Products & Chemicals Inc,Materials,163.3977923541204,292.81,2641.7363616403254,142.69084736839645,104.47958326372927
AKAM,Akamai Technologies Inc,Information Technology,30.558900862230782,96.97,1025.4793990448784,37.95927057365328,35.894916837014875
ALK,Alaska Air Group Inc,Industrials,21.422661484768827,65.83,768.4826577498305,26.136407782291062,26.063313945949506
ALB,Albemarle Corp,Materials,-151.56378089045768,88.29,953.8438269690591,-59.927705600521996,3.8555574597072613
ARE,Alexandria Real Estate Equities Inc,Real Estate,15.59402868302241,98.35,1036.8684646514027,30.230422752251638,35.894916837014875
ALGN,Align Technology,Health Care,53.111672055783394,211.43,1970.1116086990596,60.20362204916279,74.74255053002666
ALLE,Allegion,Industrials,56.081655098766575,131.97,1314.3325122538279,59.8886466303638,59.56601971388675
LNT,Alliant Energy Corp,Utilities,19.167865181401737,59.54,716.5716268331364,21.456538007462832,22.15595640371519
